"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "PostCSS", "JavaScript", "JSON", "XML", "TypeScript JSX", "YAML", "MS SQL", "comment", "blank", "total"
"c:\Users\ashis\edwise\frontend\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\ashis\edwise\frontend\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 11, 118
"c:\Users\ashis\edwise\frontend\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 8, 56
"c:\Users\ashis\edwise\frontend\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\ashis\edwise\frontend\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 14, 130
"c:\Users\ashis\edwise\frontend\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\ashis\edwise\frontend\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 10, 62
"c:\Users\ashis\edwise\frontend\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"c:\Users\ashis\edwise\frontend\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 8, 31
"c:\Users\ashis\edwise\frontend\components\ui\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 20
"c:\Users\ashis\edwise\frontend\components\ui\use-toast.ts", "TypeScript", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 3, 32, 195
"c:\Users\ashis\edwise\frontend\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 20
